Asset,Driver,Influence,Justification,Likely Response,Effect on Variability,Human action or natural variation,Timescale,Spatial Characteristics
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Certain non-fossil aquifers are no longer being replenished due to alterations made to land cover, meaning that if groundwater is abstracted aquifers will be depleted.",Loss of groundwater provision on a local basis.,Human action,Mid term,Local - This impact will occur in areas where land use and land cover has changed significantly and stopped water provision to aquifers.
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Freshwater diversion from estuarine areas,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats.",Human action,Short-mid term,Local-Regional
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Changes in intensity and extension.,Vegetation alteration can degrade or cause loss of service.,Human action,Short term,Local
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Declines in pollinator populations due to reduced access to food and nesting resources (16.5 % of vertebrate pollinator species are threatened with global extinction; in Europe, 9% of bee and butterfly species are threatened, and populations of 37% of bees and 31% of butterflies are declining)",Decreased pollination services during the peak period of pollination (i.e. spring for most crops in temperate zones). 5-8 % of global crop production would be lost if pollination services ceased.,Human action,Short term - Declines are already occurring at the national level and are having an effect on pollination of crops on an annual basis.,Regional - National and regional data provide evidence of declines in pollinator species.
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Lower species mobility, thus decreased ability to disperse seeds. Altered wind and hydrological processes within a given area will affect how far seeds are dispersed.",Decreased seed dispersal by animals,Human action,"Short-mid-term - Plants produce seeds on a seasonal basis, as such seed dispersal occurs on the same timescale.",Global - Habitat fragmentation is occurring on a global scale. Regional and local - Effects will be more severe in highly fragmented landscapes and will also depend on the adaptability of seed dispersing species.
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Alters water flow, rock structure, topographic characteristics which alter soil composition",Changing decomposition and fixation processes.,Human action,Long term,Local
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,"Alters water flow and availability, and rock structure and topographic characteristics which alter soil composition.",Changing decomposition and fixation processes,Human action,Short term,Local
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Disturbance of natural water flows and sedimentation in catchments leading to geophysical alterations of water bodies Water flow will increase or decrease depending on local conditions.,"Increase or decrease in provision of surface water. If a certain volume of water is removed for industrial use and is not returned afterwards, then the total volume of surface water in will be decreased by that volume. Increased sedimentation cuts light to animals, leads to nutrient blooms and loss of oxygen.",Human action,"Short term - Disturbance of water bodies e.g. during construction work, can materialise within a matter of months.",Local - Restricted to areas where water bodies are being disturbed as a result of human activity and/or where water is being heavily abstracted and downstream of those areas.
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Anthropogenic climate change is leading to severe decreases in water flows and alterations to the geological characteristics of water bodies (e.g. desiccation of entire rivers).,Decrease in surface water provision.,Human action,Long term - This impact will materialise over coming decades.,"Local-Regional-Global. Global - Climate change is occurring on a global scale. Regional and Local - Impacts are likely to materialise on a landscape or regional scale, affecting watersheds where water bodies are altered; areas that are already under high water stress will likely be most severely impacted."
Water,Habitat modification,R,Habitat modification changes the use and distribution of water. Increasing pressures from economic development will see further changes to habitats over the long term.,Changes to the way water flows through landscapes,Increased or decreased availability of water at the local and landscape level.,Human action,Short term,Local
Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.",Alters freshwater supply and resources.,"Changed habitat dynamics, reduction in stability of blue carbon habitats.",Human action,Short term,Coastal ecosystems
Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.",Increased vulnerability to change and pollution.,"Streams and rivers near newly drilled natural gas wells are vulnerable to: sediment runoff, reduced streamflow and possible contamination from introduced chemicals and the resulting wastewater.",Human action,Short term,Global
Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.","Water quality, depth, turbidity, salinity and nutrient changes will lead to changes in plant community structure and health, and decreases or disappearance of biotic communities and habitat health and complexity.","Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats. Displacement or local extinction of adult populations, disrupting spawning patterns. Sedimentation due to shipping activity reduces light penetration, settlement success, survival, and diversity of habitats such as coral.",Human action,Short term,Local
Water,Industrial or domestic activities,R,"Demand for water for industrial or domestic activities will increase as a result of continued development pressures unless water assets are appropriately managed, reducing the amount of water available for providing or supporting other ecosystem services. Industrial or domestic activities are also expected to increase over time as a response to economic development and population growth - these activities will continue to have an impact on water.","Over use by humans for agriculture, energy generation, other non-drinking purposes, and other industries leads to decrease in water flow and volume.","Decrease in surface water provision. Unless water is returned in equal volumes to water bodies after abstraction, then the volume of surface water provided through water bodies will be reduced by the amount that is not returned.",Human action,Short term - Water abstraction for human purposes occurs on a daily basis and in many areas is resulting in over use.,"Local - Restricted to areas of high and unsustainable water use, such as big cities, and large industrial and agricultural areas."
Water,Industrial or domestic construction,R,"Demand for water for construction will increase as a result of continued development pressures - unless water is appropriately managed this will see changes to level of service provision. Industrial or domestic construction is anticipated to grow over the next 5 years and the construction industry has the potential to irreversibly damage and alter water bodies and quality. Water bodies vary spatially, however the impact of industry and construction is well-documented, with low variability across systems.",The sealing of soils by urban construction in urban areas modifies the local climate.,"Vegetation no longer regulates climate, leading to even higher temperatures.",Human action,Short-term,Urban areas
Water,Industrial or domestic construction,R,"Demand for water for construction will increase as a result of continued development pressures - unless water is appropriately managed this will see changes to level of service provision. Industrial or domestic construction is anticipated to grow over the next 5 years and the construction industry has the potential to irreversibly damage and alter water bodies and quality. Water bodies vary spatially, however the impact of industry and construction is well-documented, with low variability across systems.",Changes in sediment regime.,Sedimentation causes reservoir infill and a reduction in sediment supply downstream to create wetland features,Human action,Long term,"All dammed rivers, especially big, complex dam systems, e.g. the Amazon, Mekong and Congo."
Water,Intensive agriculture and aquaculture,R,"Intensive agriculture is an important source of water pollution. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. While the majority of aquaculture practices have had few adverse effects on ecosystems, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population.",Overfertilization and nutrient enrichment lead to algal overgrowth and loss in cover and diversity of habitats.,"Habitat loss leads to disruption of connectivity between spawning, nursery and adult stage habitats.",Human action,Short-mid term,Local-Regional
Water,Intensive agriculture and aquaculture,R,"Intensive agriculture is an important source of water pollution. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. While the majority of aquaculture practices have had few adverse effects on ecosystems, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population.","Intensive agriculture (i.e. large homogenous fields with regular and intensive tillage, grazing, and/or mowing) and associated chemical use (e.g. pesticides such as neonicotinoids) has abroad range of lethal and sub-lethal effects on pollinator species. Pollinator habitat loss and disruption of daily activities. Higher rates of species mortality and reduced species survival. More specialised pollinator species (i.e. those that are highly dependent on a specific feature and are not adaptable) are more heavily affected by this impact.",Decreased pollination services. The magnitude of loss of pollination will depend on the presence of other more robust and adaptable species.,Human action,Short term - Impacts have occurred in the past and are occurring on a daily basis. Chemicals are applied on a daily basis in many agricultural practices.,"Local and Global. Global - Agriculture is global and many impacts such as habitat destruction and chemical use occur worldwide. Local - Impacts will materialise on a local scale and will be more severe in areas of more intensive agriculture. Chemical application has direct effects on local pollinator populations and water bodies, and pollinator species are more at risk in areas where chemicals are applied more heavily."
Water,Intensive agriculture and aquaculture,R,"Intensive agriculture is an important source of water pollution. Agricultural intensification releases nutrients (through soil management and fertilisers) and other chemicals (e.g. pesticides) into water courses, through biological contamination (e.g. from bacteria in manure) and through soil runoff. Aquaculture can have an impact on waterbodies, through waste products, food surpluses and drug residuals. While the majority of aquaculture practices have had few adverse effects on ecosystems, there are a few examples of environmental degradation due to intensive cage culture operations and some shrimp farming practices. This trend for intensive agriculture and aquaculture is anticipated to worsen in the long term, due to food pressures related to an increasing population.",Addition of organic or inorganic matter results in changes in diversity in the soil and the microbial composition.,Alters matter composition and microbial community structure which in turn affects decomposition rate.,Human action,Short-long term,Local-Global
Water,Invasive species,R,"Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species.",Displacement or local extinction of biotic communities.,"Alien species altering ecology of system, e.g. displacing relevant species to maintain services.",Human action,Short-mid term (depending on level of disturbance of invasive species),Local
Water,Invasive species,R,"Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species.",Invasive species can deviate pollinators from the plants they normally pollinate (in the case of invasive plants) or can outcompete native pollinators (in the case of invasive pollinators),Decreased pollination services from native pollinators to native plants.,Human action,Short term - Impacts of invasive species are already occurring and materialise within a few months.,"Local - Impacts will occur in areas that are more susceptible to colonisation by invasive species, such as areas close to roads; islands are particularly sensitive to impacts from invasive species."
Water,Invasive species,R,"Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species.",Reduced species survival and reduced ability of native species to disperse seeds. Reduced ability of water bodies to effectively disperse seeds.,"Decreased seed dispersal by native species, and possibly less efficient seed dispersal where invasive species replace native species. Reduced water mobility due to invasive plants, leading to reduction in seed dispersal distance by water bodies.",Human action,Short term - Impacts of invasive species are already occurring and materialise within a few months.,"Local - Impacts will occur in areas that are more susceptible to colonisation by invasive species, such as areas close to roads; islands are particularly sensitive to impacts from invasive species."
Water,Invasive species,R,"Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species.",Alteration of chemical properties of salt water bodies.,Decreased chemical quality of salt water.,Human action,Short term,Local
Water,Invasive species,R,"Water quality and quantity are affected by the flora and fauna that live in or near to aquatic habitats - and competitive invasive species introduced into water systems can affect interactions, resulting in declines in native species and degradation of water quality. Increases in human movement, and transportation of goods will see increases in outbreaks of invasive species.",Altered chemical balances of freshwater bodies and competition with native species,"Decreased chemical condition of freshwaters resulting from lower species diversity, loss of native species, and changes in nutrient and chemical balances.",Human action,Short term - Invasive species colonise at alarming rates within weeks or months.,"Regional and local - Invasive species have severe and often irreversible impacts on the areas that they colonise and once they are present within a region, if they are not controlled adequately, they are highly likely to colonise new areas. The economic impact of invasive species ranges from US$ 100 million – US$ 1 billion."
Water,Landslides,R,"Landslide and erosion activities can cause large amounts of earth and organic material to enter watercourses, reducing water quality, water supply, and available habitats. ",Natural changes in local geo-morphological characteristics of water bodies lead to increase or decrease in volumes of water flow and alter flow direction.,Increase or decrease in surface water provision.,Natural variation,Short and Long term. Short term - E.g. immediate impacts of landslides. Long term - Gradual changes in slope due to erosion.,Local and Global. Local - This impact will alter watersheds. Global - Natural erosion occurs on a global scale.
Water,Landslides,R,"Landslide and erosion activities can cause large amounts of earth and organic material to enter watercourses, reducing water quality, water supply, and available habitats. ",Increased or decreased water flows through landscapes,Increased or decreased water balances within landscapes,Natural variation,"Short term - These include landslides or other rapid alterations to geomorphological characteristics of water courses. Mid- and long term - Water itself is the main actor that causes erosion, which shapes water courses and influences the way water circulates through the environment.","Regional and local - Impacts of landslides will affect the geomorphological features in the immediate vicinity, but can also have repercussions at the landscape and ecosystem level if entire water courses are altered."
Water,Ocean acidification,R,Ocean acidification directly changes the quality of water in the oceans and its capacity to support a number of ecosystem services.,"Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Water,Ocean acidification,R,Ocean acidification directly changes the quality of water in the oceans and its capacity to support a number of ecosystem services.,Decreased ability of species to uptake nutrients.,Decreased chemical quality of salt water.,Human action,Short term - This impact is already occurring daily and its effect on animals is rapid.,Global - Ocean acidification is occurring on a global scale. Local - Plant and animal species that are more sensitive to ocean acidification will be more severely impacted.
Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.",Increase in freshwater due to melting of ice caps linked to climate change leads to weakening or collapse of the ocean thermohaline circulation.,Air-sea carbon uptake substantially reduced.,Human action,Long term,Global - oceans
Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.",Breakdown in thermohaline circulation caused by rapid glacial melting and influx of freshwater to oceans.,Rapid climate cooling and loss of regional climate regulating function.,Human action,Long-term,Regional seas and smaller regions of ocean
Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.","Concentration of marine litter, especially plastics.",Micro plastics tend to accumulate on certain coastal areas depending on winds and currents as well as at major oceanic fronts known as gyres.,Natural variation,Long term,Coastal areas and sub-tropical gyres
Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Water,Ocean current and circulation,G,"Ocean currents and circulation affect water resources provided by oceans. Salinity and temperature determine the density of ocean water, and density influences the circulation. The impact of ocean currents on water assets is relatively minor, and will vary by location. Population growth and impacts from climate change are anticipated to lead to increased impact on water assets. The impact of ocean currents on water assets is relatively minor, and will vary by location. There is low uncertainty in this relationship.",Sudden changes in chemical balances and pH.,Variations in chemical condition of salt water. The magnitude of the effect of this variation is minor as systems are adapted to tolerate them.,Natural variation,Short term - Seasonal.,Global - Currents occur on a global scale and affect oceans around the globe.
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Reduction in dilution service potential.,"Both point and non-point source pollutants results in eutrophication and coastal economic damage, e.g. beach closures.",Human action,Short term,Coastal areas
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Lower quality of groundwater.,Lower quality of groundwater.,Human action,Mid term,"Local - Areas of high agricultural and industrial activity are more likely to pollute groundwater, especially where water treatment facilities are less developed."
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Habitat loss due to overfertilization and toxics contamination,Habitat loss due to clouding of coastal waters by sediment from run-off and toxics which leads to contamination.,Human action,Short-mid term (depending on extent and intensity),Local-Regional
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.","Alters conditions: temperature, humidity, rainfall","Pollution may alter presence and conditions of urban and suburban vegetation, may diminish plants’ capacity of gas
 absorption.",Human action,Short-mid term,Global
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Altered wind dynamics and the ability of wind to disperse seeds,Decreased dispersal distance of seeds by wind,Human action,Short term,Local
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,"Acid rain and pollution, acidity in air, etc. alters weathering agents in the environment (water, soil, air).",Human action,Long term,Local-Global
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Microbiota are sensitive to metal pollution. Toxicity of heavy metals displaces exchangeable nutrients from binding sites.,Pollution inhibits litter decomposition. Decomposition is sensitive to pollution and metals contaminants at the microbial level. Metal pollution also makes plant matter difficult to decompose. May lead to algal blooms.,Human action,Short-long term,Local-Global
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Suppressed rainfall in highly polluted areas due to reduced efficiency of clouds at releasing precipitation.,Decreased water balance and disrupted hydrological cycle in polluted areas,Human action,Short term,Local - Dependent on local pollution levels; areas with higher degrees of aerosol use will be more sensitive to this impact.
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Alterations to nutrient cycles and balances resulting from pollution due to human activities.,Reduced quality of water resources.,Human action,"Short term - Pollution of water sources can have immediate impacts on water quality. Long term - Persistent Organic Pollutants, or POPs, can remain in the water cycle for months to years.","Global - Certain chemicals are prone to diffusion over very long ranges as a result of their physical and chemical properties. Local - Pollution from e.g. run-off or waste water will affect nutrients in local waters, thus affecting water quality."
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.",Alteration of chemical composition of salt water bodies and decreased pH of salt water.,Decreased quality of salt water.,Human action,Short term - This impact is already occurring daily and its effect on pH materialises on a short timescale.,Global - Fossil fuel emissions are occurring on a global scale. Local - Salt water bodies that are in close proximity of areas with high pollution rates are more likely to be impacted.
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.","Alteration of nutrient cycles (e.g. leading to algal blooms and eutrophication), pH level, and changes to chemical composition of salt waters. Algal blooms smother sea grass. Eutrophication leads to creation of “dead zones” in the ocean, which are areas that are entirely deprived of oxygen.",Decreased chemical quality of salt water.,Human action,"Short term - This impact is already occurring daily and its effect on nutrients, pH, and chemical particles is rapid.",Local - Pollution of salt water bodies occurs where there are ongoing human activities. Coastal waters are particularly vulnerable to pollution from nearby land-based activities.
Water,Pollution,R,"Pollution causes severe changes to water quality, which has a detrimental effect on aquatic ecosystems, ground water, and can be a threat to human health. Increased industrialisation and agriculture, will lead to increased instances of point source and non-point source pollution incidents if appropriate safeguards aren't implemented.","Increases in nutrients, sediments and changes in chemical composition of freshwater bodies, decreased species survival.",Decreased chemical condition of freshwaters.,Human action,Short term - Pollution from industrial activities and agricultural run-off occurs daily.,Regional - This impact is more likely to occur in areas with nearby human activities and will be particularly severe where many activities contribute to polluting nearby freshwaters.
Water,Sea level rise,A,"Sea level rises cause sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water.",Surface area of coastal habitats reduced by rising sea level.,Removal of organic component of coastal sediments and their burial. Loss of carbon sink.,Human action,Long term,Coastal ecosystems
Water,Sea level rise,A,"Sea level rises cause sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water.",Contamination of coastal aquifers with salt water.,Lower quality of groundwater. Higher salinity might affect whether or not groundwater can be used for certain industrial or agricultural processes.,Human action,Long term,Local - This impact will be restricted to coastal areas that have nearby freshwater aquifers.
Water,Sea level rise,A,"Sea level rises cause sea water intrusion (or salt water intrusion) - which is the encroachment of saline water into fresh ground water regions in coastal aquifer settings, which can have a detimental effect on the provision of water.","Affects health of ecosystems, alters ocean currents and changes biotic communities.","Warming and acidification ocean creates thermal stress (e.g. coral bleaching), sea level rise, sedimentation, Altered ocean currents lead to changes in connectivity and temperature regimes. Ocean acidification leads to a reduction in pH levels and decreases growth rates.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Water,Sea surface temperature,R,"Changes to sea surface temperature will affect water resources provided by oceans, for example less carbon will be absorbed by phytoplankton for photosynthesis.",Caused an annual 1% decline in phytoplankton in worlds’ oceans.,Less carbon absorbed by phytoplankton for photosynthesis.,Human action,Short term,Global - oceans
Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,"Short (surface winds, e.g. monsoon seasons) to long term (upwelling and down welling)","Global - deep ocean currents, e.g. the Antarctic Circumpolar Current"
Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,"Affects health of ecosystems, leads to altered ocean current and water runoff changes.","Changes in storm patterns leads to destruction of structures. Changes in precipitation create increases in runoff of freshwater, and land based pollutants.",Human action / Natural variation,Short-mid-long term,Local-Regional-Global
Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,Increases or decreases in wind velocity on a local basis,Increased or decreased quality of seed dispersal through wind,Human action,Short term - Changes in storm frequency and strength are already occurring,Global - Climate is changing globally and this is impacting storm frequency and intensity on a global scale. Local - Impacts will occur on a local basis.
Water,Storms,R,Storm runoff events affect the water quality of reservoirs and increase risks to the water supply. It is predicted that the frequency of extreme rainfall events will increase in the future.,Increases in nutrients and changes in chemical composition of freshwater bodies. Physical alterations of turbidity and water flow.,Increased nutrients and/or chemicals can upset chemical condition of freshwater.,Human action,Short term - Storms occur over a number of hours or days.,Regional - This impact will occur in areas of the world that are prone to storms.
Water,Water abstraction,R,"Water abstraction reduces the amount of water available to support other ecosystem services. Situations of imbalance between demand and availability of water often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase.",Fragmentation of the river system.,Reduced dilution ability as river flow is disrupted. Increased human presence creates more effluent flow exacerbating the problem.,Human action,Short term,Global
Water,Water abstraction,R,"Water abstraction reduces the amount of water available to support other ecosystem services. Situations of imbalance between demand and availability of water often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase.",Depletion of groundwater contained in aquifers. Groundwater in some areas is being used at rates exceeding the rate at which natural processes can replenish stocks. Groundwater represents 18% of water used for agricultural purposes and 13% of that used for energy production and industry purposes.,Decreased provision of groundwater. Unsustainable water abstraction from aquifers for human use is leading to drastic water shortages.,Human action,Mid term,"Local - Areas that have a higher water use, such as big cities or large industrial and agricultural areas are more likely to deplete groundwater stocks."
Water,Water abstraction,R,"Water abstraction reduces the amount of water available to support other ecosystem services. Situations of imbalance between demand and availability of water often happens in areas with high population densities, combined with low rainfall, resulting in depletion of water courses, and salt-water intrusion in aquifers. These impacts are expected to worsen in the long-term, as demand continues to increase.","Reduction in the amount of water in natural resources (e.g. surface
 and groundwater)","Changes in when and where water returns to the atmosphere, affects local or regional water balances and precipitation patterns.",Human action,Mid term,"Regional and local - Water abstraction for human use will affect the water bodies from which water is taken and this in turn will have downstream impacts; impacts will be more severe in areas with high water consumption levels such as big cities, or areas of high agricultural and industrial activities."
Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Climatic anomalies (e.g. ENSO) create deficits and excesses in temperature and precipitation.,"Regulation of regional climate is heavily impacted, e.g. an El Niño is associated with warm and very wet weather months in April–October causing major flooding in southern hemisphere countries such as Peru and Ecuador.",Natural variation,Long-term,Regional - tropics and sub-tropics
Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Mixed layers of water.,Well mixed layers increase dilution potential of seawater.,Natural variation,"Short (surface winds, e.g. monsoon seasons) to long term (upwelling and down welling)","Global - deep ocean currents, e.g. the Antarctic Circumpolar Current"
Water,Weather conditions,R,"Weather conditions can affect water in a number of different ways. Variations in rainfall patterns will cause water quality changes which will impact drinking water production and human health. Rising temperatures can increase evaporation, reducing the quantity of water in a given location.",Increase or decrease of water available in groundwater sources.,"Seasonal or annual variation (i.e. increase or decrease) in groundwater provision to the bodies that depend on it (e.g. rivers, lakes, wetlands).",Natural variation,Short term - These changes can occur within any given year.,"Global and local - Variations in rainfall occur around the world, but seasonal patterns in rainfall are region-specific and affect the hydrological cycle on a more local scale."
